x,y,z
0.000861,0,6.6000000000000003e-06
0.000861,0,9.9000000000000001e-06
0.000861,0,1.3200000000000001e-05
0.000861,0,1.6500000000000001e-05
0.000861,0,1.98e-05
0.000861,0,2.3099999999999999e-05
0.000861,0,2.6400000000000001e-05
0.000861,0,2.97e-05
0.000861,0,3.3000000000000003e-05
0.00092250000000000003,0,0
0.00092250000000000003,0,3.3000000000000002e-06
0.00092250000000000003,0,6.6000000000000003e-06
0.00092250000000000003,0,9.9000000000000001e-06
0.00092250000000000003,0,1.3200000000000001e-05
0.00092250000000000003,0,1.6500000000000001e-05
0.00092250000000000003,0,1.98e-05
0.00092250000000000003,0,2.3099999999999999e-05
0.00092250000000000003,0,2.6400000000000001e-05
0.00092250000000000003,0,2.97e-05
0.00092250000000000003,0,3.3000000000000003e-05
0.00098400000000000007,0,0
0.00098400000000000007,0,3.3000000000000002e-06
0.00098400000000000007,0,6.6000000000000003e-06
0.00098400000000000007,0,9.9000000000000001e-06
0.00098400000000000007,0,1.3200000000000001e-05
0.00098400000000000007,0,1.6500000000000001e-05
0.00098400000000000007,0,1.98e-05
0.00098400000000000007,0,2.3099999999999999e-05
0.00098400000000000007,0,2.6400000000000001e-05
0.00098400000000000007,0,2.97e-05
0.00098400000000000007,0,3.3000000000000003e-05
0.0010455,0,0
0.0010455,0,3.3000000000000002e-06
0.0010455,0,6.6000000000000003e-06
0.0010455,0,9.9000000000000001e-06
0.0010455,0,1.3200000000000001e-05
0.0010455,0,1.6500000000000001e-05
0.0010455,0,1.98e-05
0.0010455,0,2.3099999999999999e-05
0.0010455,0,2.6400000000000001e-05
0.0010455,0,2.97e-05
0.0010455,0,3.3000000000000003e-05
0.0011069999999999999,0,0
0.0011069999999999999,0,3.3000000000000002e-06
0.0011069999999999999,0,6.6000000000000003e-06
0.0011069999999999999,0,9.9000000000000001e-06
0.0011069999999999999,0,1.3200000000000001e-05
0.0011069999999999999,0,1.6500000000000001e-05
0.0011069999999999999,0,1.98e-05
0.0011069999999999999,0,2.3099999999999999e-05
0.0011069999999999999,0,2.6400000000000001e-05
0.0011069999999999999,0,2.97e-05
0.0011069999999999999,0,3.3000000000000003e-05
0.0011685000000000001,0,0
0.0011685000000000001,0,3.3000000000000002e-06
0.0011685000000000001,0,6.6000000000000003e-06
0.0011685000000000001,0,9.9000000000000001e-06
0.0011685000000000001,0,1.3200000000000001e-05
0.0011685000000000001,0,1.6500000000000001e-05
0.0011685000000000001,0,1.98e-05
0.0011685000000000001,0,2.3099999999999999e-05
0.0011685000000000001,0,2.6400000000000001e-05
0.0011685000000000001,0,2.97e-05
0.0011685000000000001,0,3.3000000000000003e-05
0.00123,0,0
0.00123,0,3.3000000000000002e-06
0.00123,0,6.6000000000000003e-06
0.00123,0,9.9000000000000001e-06
0.00123,0,1.3200000000000001e-05
0.00123,0,1.6500000000000001e-05
0.00123,0,1.98e-05
0.00123,0,2.3099999999999999e-05
0.00123,0,2.6400000000000001e-05
0.00123,0,2.97e-05
0.00123,0,3.3000000000000003e-05
0.0012914999999999999,0,0
0.0012914999999999999,0,3.3000000000000002e-06
0.0012914999999999999,0,6.6000000000000003e-06
0.0012914999999999999,0,9.9000000000000001e-06
0.0012914999999999999,0,1.3200000000000001e-05
0.0012914999999999999,0,1.6500000000000001e-05
0.0012914999999999999,0,1.98e-05
0.0012914999999999999,0,2.3099999999999999e-05
0.0012914999999999999,0,2.6400000000000001e-05
0.0012914999999999999,0,2.97e-05
0.0012914999999999999,0,3.3000000000000003e-05
0.001353,0,0
0.001353,0,3.3000000000000002e-06
0.001353,0,6.6000000000000003e-06
0.001353,0,9.9000000000000001e-06
0.001353,0,1.3200000000000001e-05
0.001353,0,1.6500000000000001e-05
0.001353,0,1.98e-05
0.001353,0,2.3099999999999999e-05
0.001353,0,2.6400000000000001e-05
0.001353,0,2.97e-05
0.001353,0,3.3000000000000003e-05
0.0014145,0,0
0.0014145,0,3.3000000000000002e-06
0.0014145,0,6.6000000000000003e-06
0.0014145,0,9.9000000000000001e-06
0.0014145,0,1.3200000000000001e-05
0.0014145,0,1.6500000000000001e-05
0.0014145,0,1.98e-05
0.0014145,0,2.3099999999999999e-05
0.0014145,0,2.6400000000000001e-05
0.0014145,0,2.97e-05
0.0014145,0,3.3000000000000003e-05
0.0014760000000000001,0,0
0.0014760000000000001,0,3.3000000000000002e-06
0.0014760000000000001,0,6.6000000000000003e-06
0.0014760000000000001,0,9.9000000000000001e-06
0.0014760000000000001,0,1.3200000000000001e-05
0.0014760000000000001,0,1.6500000000000001e-05
0.0014760000000000001,0,1.98e-05
0.0014760000000000001,0,2.3099999999999999e-05
0.0014760000000000001,0,2.6400000000000001e-05
0.0014760000000000001,0,2.97e-05
0.0014760000000000001,0,3.3000000000000003e-05
0.0015375,0,0
0.0015375,0,3.3000000000000002e-06
0.0015375,0,6.6000000000000003e-06
0.0015375,0,9.9000000000000001e-06
0.0015375,0,1.3200000000000001e-05
0.0015375,0,1.6500000000000001e-05
0.0015375,0,1.98e-05
0.0015375,0,2.3099999999999999e-05
0.0015375,0,2.6400000000000001e-05
0.0015375,0,2.97e-05
0.0015375,0,3.3000000000000003e-05
0.0015989999999999999,0,0
0.0015989999999999999,0,3.3000000000000002e-06
0.0015989999999999999,0,6.6000000000000003e-06
0.0015989999999999999,0,9.9000000000000001e-06
0.0015989999999999999,0,1.3200000000000001e-05
0.0015989999999999999,0,1.6500000000000001e-05
0.0015989999999999999,0,1.98e-05
0.0015989999999999999,0,2.3099999999999999e-05
0.0015989999999999999,0,2.6400000000000001e-05
0.0015989999999999999,0,2.97e-05
0.0015989999999999999,0,3.3000000000000003e-05
0.0016605000000000001,0,0
0.0016605000000000001,0,3.3000000000000002e-06
0.0016605000000000001,0,6.6000000000000003e-06
0.0016605000000000001,0,9.9000000000000001e-06
0.0016605000000000001,0,1.3200000000000001e-05
0.0016605000000000001,0,1.6500000000000001e-05
0.0016605000000000001,0,1.98e-05
0.0016605000000000001,0,2.3099999999999999e-05
0.0016605000000000001,0,2.6400000000000001e-05
0.0016605000000000001,0,2.97e-05
0.0016605000000000001,0,3.3000000000000003e-05
0.001722,0,0
0.001722,0,3.3000000000000002e-06
0.001722,0,6.6000000000000003e-06
0.001722,0,9.9000000000000001e-06
0.001722,0,1.3200000000000001e-05
0.001722,0,1.6500000000000001e-05
0.001722,0,1.98e-05
0.001722,0,2.3099999999999999e-05
